"(1, 10000, 'constant-epsilon', 0.1, 1)","(1, 10000, 'greedy', 0, 5)","(0.5, 10000, 'epsilon_greedy', 0.1, 50)","(0.25, 10000, 'constant-epsilon', 0.1, 5)","(0.25, 10000, 'boltzmann_exploration', 1.5, 5)"
5.1,5.2,3.6,6.0,5.6
5.5,5.2,3.6,5.8,5.8
5.1,5.2,4.1,4.9,5.2
5.4,5.2,3.8,3.3,6.0
5.5,5.2,4.3,5.1,5.0
6.2,5.2,4.1,5.6,6.5
5.3,5.2,3.4,4.2,5.8
5.2,5.2,3.4,3.9,5.6
5.7,5.2,3.2,5.0,5.4
4.7,5.2,3.4,4.5,6.6
5.3,5.2,2.4,4.0,6.0
4.7,5.2,2.4,6.0,5.7
5.5,5.2,3.6,5.6,6.3
2.7,5.2,3.7,5.0,6.3
4.9,5.2,4.7,5.5,6.3
6.2,5.2,3.9,5.7,6.4
3.4,5.2,3.0,4.8,5.5
5.8,5.2,3.9,4.8,6.2
5.2,5.2,3.2,5.9,6.7
4.8,5.2,2.2,6.0,6.4
4.4,5.2,4.2,5.6,5.8
5.6,5.2,4.1,6.2,5.8
5.7,5.2,3.7,5.2,6.0
5.5,5.2,3.2,4.7,6.4
6.2,5.2,1.1,2.3,6.1
2.9,5.2,3.3,4.6,5.9
5.4,5.2,4.2,5.5,5.7
6.1,5.2,4.0,4.8,5.3
5.2,5.2,3.0,3.9,6.2
5.1,5.2,2.4,5.6,6.0
6.5,5.2,3.3,5.0,5.9
5.9,5.2,2.8,5.0,5.7
5.3,5.2,3.1,6.0,6.3
2.7,5.2,3.0,4.5,6.1
5.6,5.2,4.3,6.4,6.0
5.5,5.2,3.4,6.2,6.2
5.6,5.2,3.5,6.4,5.9
5.3,5.2,3.3,5.7,5.7
5.5,5.2,2.6,5.1,6.0
4.9,5.2,4.0,3.8,5.2
4.5,5.2,3.4,5.0,6.0
5.4,5.2,4.0,6.1,5.8
5.7,5.2,2.5,5.6,6.2
6.1,5.2,4.0,5.6,6.2
6.2,5.2,3.3,5.3,5.4
4.4,5.2,4.2,5.8,5.7
5.9,5.2,3.2,4.1,5.6
5.7,5.2,3.9,5.8,6.2
5.3,5.2,3.9,5.9,6.6
5.5,5.2,4.1,6.2,5.6
5.0,5.2,2.7,5.2,6.2
5.3,5.2,3.6,4.6,6.5
5.6,5.2,4.1,6.1,6.2
5.0,5.2,3.1,5.2,5.6
5.0,5.2,1.4,5.3,5.9
6.0,5.2,2.9,5.2,6.1
5.2,5.2,3.4,4.8,5.7
4.6,5.2,1.8,4.8,4.9
5.7,5.2,3.4,5.6,5.4
5.9,5.2,3.9,4.8,5.6
5.9,5.2,4.1,5.3,6.2
5.2,5.2,1.5,5.5,6.1
5.9,5.2,-2.0,4.2,6.3
4.9,5.2,-0.3,4.7,5.6
4.6,5.2,-7.0,5.7,5.6
4.4,5.2,-1.1,4.7,5.5
5.7,5.2,-1.9,5.5,6.2
5.7,5.2,3.1,5.8,6.2
6.0,5.2,4.4,4.0,5.9
5.3,5.2,3.6,4.5,5.9
5.7,5.2,3.3,5.0,6.0
5.1,5.2,2.9,4.1,6.1
5.2,5.2,3.3,5.0,6.1
4.5,5.2,3.3,4.2,4.7
5.9,5.2,2.6,4.9,5.8
5.1,5.2,3.6,5.9,5.4
5.7,5.2,2.8,5.9,5.5
5.2,5.2,4.1,5.6,6.1
4.8,5.2,2.7,4.5,6.2
5.6,5.2,3.8,5.8,5.7
5.0,5.2,4.4,4.6,5.5
5.6,5.2,4.4,5.7,5.8
5.4,5.2,2.6,5.8,5.6
5.0,5.2,1.9,6.6,5.9
3.0,5.2,4.3,5.0,5.3
5.6,5.2,4.2,4.3,6.4
5.8,5.2,2.9,5.3,6.6
4.9,5.2,3.6,6.3,5.6
4.0,5.2,3.8,4.5,6.5
4.8,5.2,3.4,6.1,6.4
5.4,5.2,4.7,4.7,6.7
5.7,5.2,3.4,4.7,5.7
5.2,5.2,4.0,5.6,5.8
6.0,5.2,2.1,5.3,6.2
4.9,5.2,3.2,5.3,5.6
5.6,5.2,2.9,5.6,5.5
4.9,5.2,3.6,5.3,6.1
4.6,5.2,3.9,5.9,5.1
5.3,5.2,2.9,5.8,5.7
5.6,5.2,3.1,5.4,6.4
5.4,5.2,-7.0,5.5,6.1
5.4,5.2,4.3,5.2,6.6
5.1,5.2,3.0,5.7,6.0
5.8,5.2,3.7,4.8,6.4
5.8,5.2,2.2,5.4,6.5
5.7,5.2,4.3,5.7,5.8
3.1,5.2,3.2,5.1,5.6
6.1,5.2,4.1,4.5,5.7
5.3,5.2,3.4,5.0,6.7
6.0,5.2,3.8,5.5,6.1
4.6,5.2,4.0,4.4,5.9
5.8,5.2,3.2,4.8,5.4
4.0,5.2,3.2,4.9,5.1
-1.1,5.2,2.8,4.2,5.5
6.1,5.2,3.9,4.5,6.2
5.4,5.2,2.8,5.1,6.1
4.9,5.2,3.7,5.4,5.9
4.2,5.2,3.8,5.5,6.2
5.5,5.2,4.2,5.8,6.0
5.6,5.2,2.4,5.3,5.8
5.5,5.2,5.0,5.8,6.4
4.9,5.2,3.3,4.8,6.0
5.6,5.2,3.3,5.8,6.0
5.4,5.2,4.4,5.2,6.2
5.3,5.2,2.3,4.3,6.1
5.1,5.2,3.6,5.2,6.4
5.8,5.2,3.8,5.6,6.0
5.9,5.2,4.1,4.8,5.5
5.2,5.2,3.4,4.9,5.4
5.1,5.2,3.4,5.3,6.0
4.2,5.2,4.0,5.4,5.7
5.7,5.2,3.5,5.6,6.1
5.8,5.2,3.5,5.9,6.4
5.7,5.2,3.7,5.9,6.0
4.4,5.2,3.6,4.9,6.1
5.4,5.2,3.9,6.1,5.8
6.1,5.2,3.5,5.4,5.2
4.5,5.2,4.0,4.5,6.3
5.5,5.2,2.7,5.7,5.9
5.2,5.2,3.2,5.8,6.3
5.5,5.2,3.5,5.0,5.6
4.4,5.2,3.4,5.5,6.4
5.1,5.2,3.3,6.5,5.4
4.8,5.2,-6.9,4.4,6.0
6.5,5.2,3.6,5.7,6.3
5.3,5.2,3.6,4.1,5.7
5.0,5.2,2.2,4.5,5.9
6.2,5.2,2.5,6.5,6.0
5.2,5.2,4.2,5.8,6.4
4.5,5.2,3.6,5.0,6.4
6.4,5.2,2.1,6.1,5.9
4.0,5.2,3.3,6.0,6.3
3.1,5.2,4.4,5.4,5.8
5.5,5.2,3.3,5.8,6.4
4.3,5.2,3.6,4.9,6.0
6.4,5.2,3.8,4.5,6.4
4.9,5.2,4.2,5.1,6.1
5.7,5.2,3.9,4.6,5.5
5.2,5.2,3.8,4.9,6.8
6.1,5.2,2.8,5.2,6.3
4.2,5.2,4.4,4.6,6.4
4.8,5.2,3.7,4.9,6.1
4.9,5.2,3.4,4.1,5.9
5.3,5.2,2.1,5.1,5.6
6.1,5.2,3.6,5.7,6.1
5.5,5.2,3.5,5.1,6.3
5.1,5.2,3.7,6.0,6.2
5.5,5.2,3.3,5.8,6.0
4.6,5.2,2.8,4.6,5.9
5.3,5.2,3.0,5.7,5.8
6.3,5.2,3.9,5.7,6.5
5.2,5.2,3.8,6.4,4.8
6.3,5.2,3.4,5.6,6.3
6.1,5.2,3.9,4.9,6.3
5.5,5.2,4.8,5.3,6.0
6.7,5.2,4.5,6.5,6.2
4.9,5.2,3.0,4.1,5.1
6.0,5.2,2.6,5.5,6.1
4.7,5.2,3.5,5.2,6.6
4.2,5.2,3.5,5.7,6.2
5.3,5.2,3.8,5.3,5.8
5.2,5.2,3.8,6.3,6.3
6.3,5.2,1.6,4.8,6.5
5.6,5.2,3.4,5.0,6.8
5.6,5.2,3.3,4.6,6.0
5.6,5.2,2.7,3.7,6.2
5.3,5.2,3.9,5.7,6.0
4.5,5.2,3.1,6.3,5.4
5.8,5.2,4.6,4.6,5.5
3.3,5.2,2.2,4.8,5.9
5.0,5.2,3.5,5.9,5.7
6.1,5.2,3.7,5.3,6.1
6.0,5.2,3.9,5.0,6.3
5.2,5.2,-8.2,5.3,6.4
4.3,5.2,4.3,5.1,6.2
3.5,5.2,3.4,4.9,4.9
5.1,5.2,3.6,4.6,6.0
5.1,5.2,4.2,5.6,5.7
5.2,5.2,3.2,5.7,6.8
5.4,5.2,4.2,5.2,5.6
5.0,5.2,3.3,5.8,6.3
5.8,5.2,3.5,3.7,6.1
6.1,5.2,2.0,4.6,5.8
5.0,5.2,3.1,5.9,6.4
5.2,5.2,2.1,4.9,6.3
5.8,5.2,3.0,4.8,6.1
4.9,5.2,4.3,5.6,5.7
5.2,5.2,3.1,6.3,6.4
5.3,5.2,2.4,5.1,6.0
5.2,5.2,3.0,4.6,6.2
5.7,5.2,1.9,5.1,6.3
4.5,5.2,3.1,5.4,6.2
5.0,5.2,4.1,4.4,6.1
6.1,5.2,3.3,6.3,5.5
6.6,5.2,3.8,4.2,6.2
4.6,5.2,3.9,5.5,5.6
5.4,5.2,4.2,5.4,5.9
2.9,5.2,3.5,5.2,5.6
4.7,5.2,4.6,6.3,5.9
6.0,5.2,2.8,4.3,6.1
6.2,5.2,2.6,2.8,6.6
4.9,5.2,3.8,6.3,5.8
5.9,5.2,3.4,4.8,6.3
5.1,5.2,3.1,4.8,6.3
5.8,5.2,2.9,5.3,6.3
5.1,5.2,3.9,5.7,6.4
5.1,5.2,2.6,5.1,5.9
5.6,5.2,2.4,5.4,6.7
5.1,5.2,4.6,3.3,6.6
5.5,5.2,4.6,5.3,6.2
3.9,5.2,3.7,5.5,6.0
4.7,5.2,2.8,3.5,6.7
4.0,5.2,4.3,4.5,5.4
5.2,5.2,3.8,5.3,6.2
5.0,5.2,1.9,4.4,5.6
6.0,5.2,3.9,5.8,6.0
4.9,5.2,4.2,5.4,5.9
5.3,5.2,4.2,5.3,6.4
6.7,5.2,3.7,4.3,6.1
5.1,5.2,2.4,5.0,6.3
6.0,5.2,3.6,5.7,6.4
5.5,5.2,4.6,5.0,6.0
4.4,5.2,3.9,6.0,5.9
4.7,5.2,3.7,5.0,5.5
5.8,5.2,4.2,3.9,5.8
5.5,5.2,4.5,5.3,6.6
5.6,5.2,3.1,4.4,4.9
5.5,5.2,-1.6,4.7,6.0
6.2,5.2,3.2,5.5,5.9
5.3,5.2,4.2,5.7,5.9
6.1,5.2,-7.4,4.6,6.1
5.9,5.2,2.9,5.2,5.8
5.7,5.2,2.7,5.5,6.0
6.1,5.2,2.6,5.3,5.8
5.8,5.2,3.8,4.8,6.2
4.7,5.2,3.0,5.6,6.1
5.6,5.2,3.2,4.8,6.5
5.4,5.2,3.7,5.3,4.5
6.0,5.2,1.7,4.7,5.5
5.5,5.2,3.8,5.3,6.1
5.0,5.2,3.8,4.6,6.5
4.9,5.2,3.1,5.7,5.9
5.6,5.2,3.2,5.2,5.8
4.6,5.2,3.9,4.4,5.9
6.1,5.2,2.7,5.3,6.3
5.3,5.2,4.0,5.3,6.1
5.0,5.2,3.5,5.4,6.5
5.7,5.2,3.4,5.2,6.2
6.1,5.2,1.9,5.4,6.0
6.2,5.2,3.3,4.8,5.7
5.4,5.2,4.2,5.9,6.1
6.1,5.2,3.7,5.0,6.0
4.9,5.2,3.9,5.0,5.9
4.6,5.2,3.8,6.3,5.5
5.0,5.2,3.1,5.2,6.2
4.7,5.2,2.7,4.6,5.7
5.0,5.2,4.3,5.5,6.5
5.3,5.2,3.4,5.3,6.7
5.3,5.2,3.6,5.7,6.1
5.3,5.2,3.3,5.5,6.0
5.6,5.2,2.8,2.4,5.9
4.8,5.2,4.0,5.6,5.4
6.0,5.2,3.4,5.4,6.1
5.3,5.2,3.3,4.9,5.7
5.6,5.2,3.5,5.4,5.7
6.1,5.2,4.2,5.6,5.9
5.8,5.2,3.6,5.4,6.6
5.1,5.2,4.3,5.4,5.3
4.8,5.2,3.3,4.3,5.7
3.3,5.2,4.1,5.4,6.0
6.3,5.2,3.5,5.0,6.6
6.6,5.2,3.4,5.2,6.2
5.3,5.2,4.1,5.5,6.0
6.0,5.2,2.8,5.8,5.9
5.1,5.2,3.1,5.8,6.2
5.3,5.2,3.3,5.0,5.5
5.5,5.2,4.7,6.7,6.5
5.1,5.2,1.5,5.4,6.3
6.0,5.2,4.3,2.7,5.4
5.7,5.2,3.2,4.9,6.8
4.7,5.2,3.6,5.4,5.7
4.9,5.2,2.7,5.5,6.2
6.3,5.2,4.0,6.1,5.9
4.7,5.2,2.6,5.9,6.8
4.9,5.2,3.3,5.2,6.1
5.3,5.2,3.4,5.2,5.6
4.4,5.2,3.1,5.2,6.6
4.7,5.2,4.1,5.7,5.6
6.0,5.2,3.4,5.7,6.2
4.0,5.2,2.8,5.5,5.6
4.7,5.2,-8.2,5.5,6.1
4.8,5.2,-6.8,5.1,6.3
5.2,5.2,-6.5,6.2,5.6
5.3,5.2,-6.8,4.6,5.4
5.7,5.2,-1.1,5.0,6.2
6.3,5.2,-7.0,5.5,5.8
6.0,5.2,-6.4,5.0,5.7
5.8,5.2,-6.8,6.0,6.2
5.0,5.2,-7.4,4.9,6.2
4.5,5.2,-7.4,4.8,5.3
5.6,5.2,-7.2,5.7,6.5
5.3,5.2,-7.9,4.2,5.5
4.0,5.2,-7.2,6.0,6.6
5.7,5.2,-6.4,5.8,6.0
5.9,5.2,-6.0,5.3,6.0
5.5,5.2,-6.8,5.3,6.1
5.4,5.2,-6.8,5.1,6.1
5.3,5.2,-6.9,5.4,5.8
4.7,5.2,-7.1,5.5,6.0
3.7,5.2,-7.0,6.1,6.3
5.1,5.2,-7.0,6.1,6.3
4.4,5.2,-7.4,5.5,6.5
5.0,5.2,-6.5,5.2,5.7
5.9,5.2,-7.2,5.8,5.7
4.8,5.2,-17.9,3.6,5.9
5.6,5.2,-7.2,6.1,6.4
5.7,5.2,-5.6,5.1,6.4
6.1,5.2,-0.9,4.9,6.1
6.0,5.2,-7.4,5.2,6.5
4.7,5.2,-7.0,5.1,5.5
5.9,5.2,-17.6,4.8,6.2
5.0,5.2,-3.1,5.0,6.0
4.4,5.2,-6.4,4.1,6.1
5.4,5.2,2.2,4.4,5.6
5.1,5.2,1.7,3.9,5.6
5.5,5.2,2.8,4.6,5.5
6.3,5.2,1.6,5.5,6.1
4.9,5.2,3.2,5.6,5.4
6.2,5.2,0.2,5.4,6.3
5.5,5.2,1.2,6.3,6.1
5.4,5.2,2.8,5.1,6.3
4.9,5.2,2.3,6.4,6.4
5.7,5.2,1.9,5.1,5.3
5.3,5.2,0.3,5.5,6.2
6.1,5.2,3.3,4.5,5.6
4.1,5.2,2.7,5.7,6.1
5.4,5.2,3.1,5.1,6.0
5.7,5.2,2.7,3.3,6.2
5.8,5.2,2.9,5.0,6.2
-5.5,5.2,3.5,6.2,5.7
4.8,5.2,3.5,5.5,6.9
5.7,5.2,2.7,5.9,6.0
5.8,5.2,3.2,6.0,5.9
5.3,5.2,3.8,5.0,6.6
4.6,5.2,3.3,5.0,6.0
4.9,5.2,2.2,5.7,6.1
5.7,5.2,4.0,5.2,6.2
6.3,5.2,3.3,4.4,6.2
5.1,5.2,4.3,5.8,6.3
5.8,5.2,3.0,4.1,5.9
6.0,5.2,2.7,5.6,6.8
5.5,5.2,2.9,4.9,5.5
6.1,5.2,2.4,4.2,6.3
4.9,5.2,2.8,5.4,6.2
6.4,5.2,3.7,4.8,6.2
5.2,5.2,4.0,5.0,5.9
5.6,5.2,2.6,6.0,6.7
6.2,5.2,4.0,5.5,4.8
5.4,5.2,4.0,4.9,4.8
5.7,5.2,1.9,4.9,5.8
5.2,5.2,3.3,5.2,6.3
4.9,5.2,4.1,5.3,5.8
5.4,5.2,1.7,5.6,6.7
5.4,5.2,3.8,5.1,5.7
5.6,5.2,3.6,5.2,5.8
5.9,5.2,-3.5,5.3,5.7
5.5,5.2,2.9,4.7,5.0
5.1,5.2,4.0,6.0,6.1
6.2,5.2,3.9,4.7,6.1
5.3,5.2,2.1,3.6,5.7
-5.2,5.2,3.4,5.4,6.4
5.2,5.2,3.9,5.3,6.5
4.7,5.2,0.7,5.8,6.1
4.6,5.2,2.5,6.5,5.8
4.5,5.2,2.5,4.3,6.5
5.6,5.2,3.6,5.7,6.1
6.2,5.2,3.5,6.1,6.1
5.8,5.2,3.0,5.3,5.9
5.4,5.2,4.3,5.1,5.8
5.9,5.2,3.2,5.7,5.6
5.2,5.2,2.5,5.0,6.5
5.4,5.2,3.9,5.6,5.5
6.3,5.2,2.7,5.9,5.5
4.7,5.2,4.1,5.1,5.9
5.2,5.2,2.4,4.7,6.2
5.5,5.2,2.3,4.8,5.4
3.6,5.2,3.2,5.6,5.3
5.7,5.2,3.5,6.1,6.3
5.7,5.2,2.0,6.4,6.0
5.1,5.2,3.4,4.0,6.0
5.3,5.2,3.0,6.3,6.2
5.7,5.2,3.6,5.3,6.4
5.8,5.2,3.4,5.7,5.9
4.5,5.2,3.0,6.0,6.6
6.1,5.2,3.2,4.1,6.5
5.4,5.2,3.6,4.9,6.3
5.4,5.2,3.2,3.6,6.3
6.1,5.2,3.2,5.0,6.4
5.5,5.2,4.3,4.2,6.2
6.0,5.2,2.8,4.8,5.8
5.0,5.2,3.0,5.9,5.1
5.0,5.2,3.0,5.3,6.2
5.7,5.2,3.1,3.0,6.2
4.7,5.2,3.9,6.1,5.2
5.3,5.2,3.9,5.3,5.8
4.5,5.2,3.9,5.7,6.1
3.7,5.2,3.4,5.5,5.2
5.8,5.2,3.0,5.5,6.6
5.4,5.2,3.6,5.9,6.0
6.3,5.2,2.5,4.6,5.1
4.9,5.2,2.4,5.1,6.3
5.3,5.2,2.4,6.1,5.6
4.8,5.2,4.0,4.7,5.7
5.6,5.2,2.3,5.0,5.2
4.0,5.2,1.8,5.8,5.8
6.0,5.2,2.9,5.2,5.6
5.5,5.2,3.4,5.7,6.2
4.7,5.2,3.4,4.7,6.6
4.7,5.2,1.6,5.3,5.9
4.7,5.2,3.3,5.5,5.9
5.7,5.2,3.1,5.7,6.0
5.7,5.2,3.3,5.9,6.0
3.8,5.2,2.4,6.2,6.6
6.0,5.2,4.3,4.4,6.0
5.8,5.2,1.3,5.5,6.2
4.7,5.2,-0.8,4.6,5.8
5.8,5.2,-2.3,5.2,6.0
4.4,5.2,0.7,5.8,5.6
4.9,5.2,-0.5,6.2,6.1
5.0,5.2,3.0,5.0,6.5
6.0,5.2,2.1,6.1,6.0
5.8,5.2,3.8,5.1,6.5
4.7,5.2,1.4,4.7,6.1
5.1,5.2,3.4,5.1,6.4
5.4,5.2,2.4,5.5,6.5
5.2,5.2,3.8,3.3,5.8
6.4,5.2,-7.0,4.7,6.1
5.3,5.2,3.4,5.2,5.9
5.3,5.2,3.5,5.5,5.4
5.3,5.2,3.1,5.6,6.0
5.4,5.2,3.0,6.5,6.5
4.7,5.2,2.2,5.5,5.5
5.2,5.2,1.6,5.1,6.3
6.2,5.2,3.4,5.5,6.8
5.0,5.2,3.1,4.7,5.4
5.5,5.2,3.3,4.8,6.1
5.6,5.2,3.5,6.0,5.2
4.9,5.2,3.3,6.0,5.6
5.3,5.2,2.8,5.3,6.7
4.1,5.2,3.4,5.5,6.4
4.7,5.2,3.2,6.2,6.0
6.0,5.2,2.7,5.3,6.0
5.4,5.2,3.0,5.5,6.3
5.2,5.2,2.7,5.3,5.8
5.6,5.2,2.8,6.1,6.3
4.3,5.2,3.0,3.9,6.2
5.7,5.2,2.8,5.5,6.0
5.9,5.2,3.0,4.9,5.9
4.3,5.2,2.4,5.6,5.7
4.7,5.2,3.0,5.3,6.6
5.3,5.2,3.5,5.8,6.4
5.7,5.2,2.8,3.5,5.7
5.7,5.2,4.2,4.1,5.8
5.7,5.2,4.1,5.7,6.3
5.0,5.2,3.2,5.3,6.1
5.7,5.2,2.9,5.4,6.2
4.6,5.2,3.7,4.7,5.6
4.9,5.2,1.2,6.1,5.9
5.3,5.2,0.5,4.9,5.3
5.5,5.2,3.2,4.0,6.1
6.2,5.2,3.3,4.4,6.3
5.0,5.2,3.4,5.4,6.1
5.4,5.2,3.7,5.1,6.2
5.1,5.2,3.6,5.5,5.5
5.4,5.2,2.6,6.3,5.7
4.1,5.2,3.5,6.4,5.1
4.6,5.2,2.6,5.6,6.3
5.2,5.2,3.9,4.4,6.4
5.7,5.2,3.3,5.1,5.7
5.3,5.2,2.7,4.9,6.1
6.0,5.2,2.5,4.4,5.9
4.3,5.2,3.1,5.2,6.3
5.5,5.2,1.5,5.2,6.0
6.1,5.2,3.5,6.0,6.6
5.6,5.2,4.0,4.9,5.9
5.8,5.2,3.4,5.4,5.5
5.9,5.2,3.5,5.6,5.9
3.7,5.2,3.7,5.2,6.6
6.2,5.2,3.6,5.7,5.3
5.8,5.2,3.8,5.4,6.5
5.3,5.2,3.2,6.0,6.5
5.4,5.2,4.3,5.7,6.5
5.5,5.2,3.4,5.2,5.6
4.9,5.2,4.1,5.1,6.0
4.6,5.2,3.8,6.1,4.8
3.8,5.2,0.8,5.0,6.7
6.2,5.2,3.0,5.7,5.7
5.5,5.2,3.4,4.8,6.4
5.2,5.2,3.3,5.2,6.3
5.7,5.2,4.3,5.6,6.3
5.3,5.2,3.6,5.0,5.8
5.1,5.2,3.3,4.8,5.8
5.5,5.2,3.1,5.5,6.0
5.5,5.2,2.5,5.0,6.5
4.8,5.2,2.9,4.6,6.1
5.3,5.2,2.2,4.5,5.4
5.7,5.2,3.7,5.2,5.8
5.5,5.2,3.4,4.4,6.3
4.9,5.2,3.7,4.7,5.6
4.5,5.2,3.4,4.0,5.9
5.5,5.2,0.8,6.3,6.1
5.6,5.2,3.2,4.7,6.6
5.7,5.2,1.7,5.5,5.8
4.8,5.2,1.6,3.6,5.7
5.6,5.2,4.1,5.0,5.7
4.9,5.2,3.5,5.8,6.4
4.9,5.2,2.6,5.2,6.5
5.8,5.2,4.2,5.5,6.3
6.3,5.2,3.4,5.2,6.4
5.0,5.2,3.2,6.0,5.4
5.6,5.2,3.2,4.5,5.7
5.5,5.2,2.6,4.3,5.9
6.0,5.2,3.5,5.5,6.3
5.6,5.2,4.4,5.0,5.6
5.7,5.2,3.4,5.4,6.0
5.9,5.2,3.2,5.9,6.2
6.3,5.2,4.0,4.5,5.9
4.2,5.2,1.5,5.1,5.4
4.7,5.2,3.9,6.2,6.0
4.9,5.2,3.9,5.7,6.0
5.1,5.2,2.3,5.5,6.2
4.5,5.2,3.7,5.1,5.7
5.4,5.2,4.3,5.1,6.6
5.3,5.2,3.7,5.1,5.7
4.8,5.2,4.3,4.6,5.8
4.8,5.2,2.6,5.0,6.5
5.2,5.2,2.8,5.1,5.7
5.7,5.2,3.8,5.7,5.2
4.5,5.2,2.6,5.0,6.4
5.6,5.2,2.9,5.4,6.7
3.9,5.2,2.7,4.4,6.0
5.5,5.2,3.3,6.2,6.4
6.0,5.2,2.5,5.6,5.9
5.7,5.2,3.0,4.5,6.4
5.0,5.2,3.3,4.7,6.2
5.4,5.2,3.2,3.9,6.2
6.1,5.2,3.8,5.4,6.5
4.5,5.2,3.1,4.8,6.6
5.9,5.2,3.6,4.1,6.5
5.7,5.2,3.6,5.4,6.5
5.9,5.2,3.8,6.1,5.9
4.8,5.2,2.6,4.3,6.3
5.7,5.2,3.8,5.4,6.1
6.5,5.2,4.0,5.8,5.9
5.0,5.2,3.3,5.6,6.4
5.7,5.2,1.7,4.9,5.6
5.6,5.2,3.4,3.9,6.0
-4.9,5.2,3.5,5.9,6.2
5.6,5.2,1.6,4.8,6.2
4.5,5.2,3.3,5.4,6.3
5.2,5.2,3.0,4.7,5.8
6.2,5.2,2.5,3.7,5.9
6.0,5.2,3.6,5.6,6.2
5.6,5.2,4.0,5.6,6.5
6.0,5.2,-6.9,5.6,6.0
5.3,5.2,-2.1,5.1,5.8
5.4,5.2,2.6,5.1,6.1
6.0,5.2,2.8,4.8,6.4
5.4,5.2,4.1,5.4,6.8
5.0,5.2,3.5,5.7,6.1
4.8,5.2,3.7,5.3,5.8
5.8,5.2,4.1,4.5,6.7
5.8,5.2,2.5,3.7,5.2
4.7,5.2,3.6,6.0,6.1
4.9,5.2,4.3,4.4,6.9
6.1,5.2,2.8,4.5,5.3
5.4,5.2,3.3,5.4,5.5
5.0,5.2,3.4,4.7,6.1
5.4,5.2,2.1,5.7,6.6
5.5,5.2,3.8,5.7,6.6
6.4,5.2,3.6,6.1,5.8
5.7,5.2,3.5,5.8,5.8
4.9,5.2,3.8,5.4,6.3
5.2,5.2,2.2,4.9,6.6
5.4,5.2,2.6,4.5,6.6
6.3,5.2,3.1,6.4,6.2
5.2,5.2,3.5,3.7,6.1
4.1,5.2,3.7,4.5,5.9
5.5,5.2,3.5,3.3,5.9
5.1,5.2,4.3,4.9,5.5
4.2,5.2,4.0,5.2,5.8
5.4,5.2,2.8,6.2,6.7
5.7,5.2,3.9,4.7,6.0
5.8,5.2,3.3,4.2,6.1
5.6,5.2,3.3,4.8,5.8
5.0,5.2,-8.2,6.0,5.5
4.4,5.2,3.0,4.7,6.3
4.9,5.2,3.6,5.0,6.5
5.6,5.2,3.4,4.0,6.3
4.3,5.2,4.2,5.5,5.4
6.3,5.2,3.2,4.4,6.1
5.0,5.2,3.8,4.6,6.4
5.9,5.2,3.5,5.7,6.0
5.5,5.2,3.0,5.7,6.1
4.6,5.2,3.9,6.0,6.8
6.2,5.2,2.8,4.9,6.5
5.1,5.2,3.5,5.4,6.0
5.6,5.2,2.9,4.6,6.3
6.3,5.2,3.0,5.7,6.4
5.9,5.2,3.4,4.6,5.6
4.6,5.2,2.8,4.7,6.4
5.5,5.2,2.6,4.4,6.8
3.1,5.2,3.3,3.9,6.1
5.3,5.2,4.3,5.9,6.3
5.2,5.2,3.1,5.0,6.2
6.3,5.2,1.9,4.7,6.1
6.0,5.2,2.7,4.1,5.7
5.4,5.2,3.4,5.4,6.6
5.7,5.2,4.3,5.3,5.8
5.1,5.2,2.3,4.5,5.7
4.9,5.2,2.8,5.9,6.0
5.6,5.2,3.2,5.9,6.2
6.3,5.2,3.9,5.1,5.9
6.5,5.2,3.9,5.9,5.6
4.4,5.2,3.1,6.2,5.5
5.6,5.2,3.7,4.7,6.0
5.5,5.2,3.6,4.6,4.6
5.5,5.2,3.3,5.8,6.0
5.7,5.2,4.1,5.5,6.1
5.4,5.2,3.7,4.8,6.4
5.5,5.2,3.2,4.7,6.2
5.6,5.2,2.7,4.0,6.0
3.4,5.2,3.6,5.9,6.1
4.3,5.2,3.0,5.7,6.0
5.9,5.2,3.5,5.3,6.3
3.8,5.2,2.8,4.7,6.3
5.8,5.2,3.1,5.4,6.7
6.2,5.2,2.5,4.9,6.6
5.6,5.2,3.1,5.3,5.3
6.3,5.2,2.7,4.9,6.0
4.1,5.2,3.3,5.2,6.6
5.9,5.2,3.3,4.8,5.1
6.1,5.2,3.7,5.0,5.8
3.1,5.2,3.7,5.0,5.6
5.0,5.2,2.6,5.7,4.5
5.8,5.2,3.5,5.5,6.2
5.0,5.2,2.9,3.7,5.8
6.1,5.2,3.6,6.2,5.5
5.2,5.2,3.6,5.8,6.7
5.6,5.2,3.3,5.4,6.4
5.9,5.2,2.8,5.5,6.2
4.7,5.2,2.5,5.5,6.9
5.4,5.2,3.0,4.3,5.9
4.9,5.2,4.1,5.2,5.8
5.8,5.2,2.5,5.7,6.6
6.0,5.2,2.8,5.8,5.7
4.6,5.2,4.1,5.3,6.1
5.7,5.2,2.6,4.6,6.5
6.0,5.2,2.7,4.5,6.4
5.9,5.2,2.2,5.1,6.4
5.6,5.2,2.1,5.5,6.0
5.7,5.2,2.4,5.1,6.4
6.0,5.2,3.1,5.1,5.6
5.6,5.2,2.7,5.5,6.0
5.0,5.2,3.8,5.7,6.1
5.3,5.2,3.3,5.7,5.9
5.4,5.2,3.0,4.7,6.3
4.4,5.2,2.8,4.1,6.0
5.9,5.2,-6.6,4.9,6.3
6.3,5.2,3.1,6.2,5.7
